ping_index,x,y,z,two_way_time_s,bottom_return,range_m,beams
0,0.000,0.000,50.000,0.001330,0.499139,1.000,101
1,500.000,0.000,50.000,0.001330,0.499139,1.000,101
2,500.000,50.000,50.000,0.001330,0.499139,1.000,101
3,0.000,50.000,50.000,0.001330,0.499139,1.000,101
4,0.000,100.000,50.000,0.001330,0.499139,1.000,101
5,500.000,100.000,50.000,0.001330,0.499139,1.000,101
6,500.000,150.000,50.000,0.001330,0.499139,1.000,101
7,0.000,150.000,50.000,0.001330,0.499139,1.000,101
8,0.000,200.000,50.000,0.001330,0.499139,1.000,101
9,500.000,200.000,50.000,0.001330,0.499139,1.000,101
10,500.000,250.000,50.000,0.001330,0.499139,1.000,101
11,0.000,250.000,50.000,0.001330,0.499139,1.000,101
12,0.000,300.000,50.000,0.001330,0.499139,1.000,101
13,500.000,300.000,50.000,0.001330,0.499139,1.000,101
14,500.000,350.000,50.000,0.001330,0.499139,1.000,101
15,0.000,350.000,50.000,0.001330,0.499139,1.000,101
16,0.000,400.000,50.000,0.001330,0.499139,1.000,101
17,500.000,400.000,50.000,0.001330,0.499139,1.000,101
18,500.000,450.000,50.000,0.001330,0.499139,1.000,101
19,0.000,450.000,50.000,0.001330,0.499139,1.000,101
